                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  30.00  1.519  9.75E+12 1.88E+12 3.16E+13 3.71E+10 7.20E+10 1.03E+11 1.28E+11 1.46E+11 1.57E+11 1.61E+11 1.59E+11 1.51E+11 1.39E+11 1.24E+11 1.07E+11 9.06E+10 7.46E+10 5.99E+10 4.69E+10 3.59E+10 2.68E+10 1.96E+10 1.40E+10 9.76E+09 6.66E+09 4.45E+09 2.91E+09 1.86E+09 1.16E+09 7.13E+08 4.28E+08 2.51E+08 1.44E+08
  40.00  1.754  3.12E+15 3.11E+14 5.60E+15 5.38E+12 1.05E+13 1.51E+13 1.89E+13 2.18E+13 2.38E+13 2.48E+13 2.49E+13 2.41E+13 2.27E+13 2.08E+13 1.86E+13 1.62E+13 1.38E+13 1.15E+13 9.34E+12 7.44E+12 5.81E+12 4.44E+12 3.33E+12 2.45E+12 1.76E+12 1.24E+12 8.62E+11 5.86E+11 3.91E+11 2.56E+11 1.64E+11 1.04E+11 6.41E+10
  50.00  1.961  3.00E+17 2.96E+16 5.64E+17 4.61E+14 9.01E+14 1.30E+15 1.64E+15 1.91E+15 2.10E+15 2.22E+15 2.25E+15 2.22E+15 2.12E+15 1.98E+15 1.80E+15 1.61E+15 1.40E+15 1.19E+15 9.99E+14 8.19E+14 6.59E+14 5.21E+14 4.04E+14 3.07E+14 2.30E+14 1.69E+14 1.22E+14 8.64E+13 6.02E+13 4.13E+13 2.78E+13 1.84E+13 1.20E+13
  60.00  2.148  1.93E+19 1.90E+18 3.78E+19 2.72E+16 5.31E+16 7.69E+16 9.75E+16 1.14E+17 1.27E+17 1.35E+17 1.38E+17 1.37E+17 1.33E+17 1.26E+17 1.16E+17 1.05E+17 9.35E+16 8.13E+16 6.94E+16 5.81E+16 4.79E+16 3.87E+16 3.08E+16 2.41E+16 1.85E+16 1.40E+16 1.04E+16 7.62E+15 5.49E+15 3.90E+15 2.72E+15 1.87E+15 1.26E+15
  70.00  2.320  9.20E+20 9.00E+19 1.86E+21 1.20E+18 2.34E+18 3.40E+18 4.33E+18 5.09E+18 5.68E+18 6.07E+18 6.28E+18 6.30E+18 6.17E+18 5.90E+18 5.52E+18 5.06E+18 4.55E+18 4.01E+18 3.48E+18 2.96E+18 2.48E+18 2.05E+18 1.66E+18 1.33E+18 1.04E+18 8.06E+17 6.15E+17 4.61E+17 3.41E+17 2.49E+17 1.79E+17 1.26E+17 8.81E+16
  80.00  2.480  3.44E+22 3.34E+21 7.15E+22 4.17E+19 8.18E+19 1.19E+20 1.52E+20 1.79E+20 2.01E+20 2.16E+20 2.25E+20 2.27E+20 2.24E+20 2.16E+20 2.04E+20 1.89E+20 1.72E+20 1.53E+20 1.35E+20 1.16E+20 9.90E+19 8.29E+19 6.83E+19 5.55E+19 4.44E+19 3.50E+19 2.72E+19 2.08E+19 1.57E+19 1.17E+19 8.61E+18 6.24E+18 4.46E+18
  90.00  2.631  1.05E+24 1.02E+23 2.24E+24 1.20E+21 2.35E+21 3.42E+21 4.38E+21 5.19E+21 5.84E+21 6.30E+21 6.59E+21 6.71E+21 6.66E+21 6.47E+21 6.16E+21 5.75E+21 5.28E+21 4.76E+21 4.23E+21 3.69E+21 3.18E+21 2.70E+21 2.25E+21 1.86E+21 1.51E+21 1.21E+21 9.53E+20 7.43E+20 5.71E+20 4.33E+20 3.24E+20 2.40E+20 1.75E+20
 100.00  2.773  2.71E+25 2.60E+24 5.89E+25 2.92E+22 5.73E+22 8.36E+22 1.07E+23 1.27E+23 1.44E+23 1.56E+23 1.64E+23 1.67E+23 1.67E+23 1.63E+23 1.56E+23 1.47E+23 1.36E+23 1.24E+23 1.11E+23 9.80E+22 8.52E+22 7.30E+22 6.17E+22 5.14E+22 4.23E+22 3.43E+22 2.75E+22 2.17E+22 1.70E+22 1.31E+22 9.95E+21 7.48E+21 5.55E+21
 110.00  2.908  6.04E+26 5.76E+25 1.34E+27 6.16E+23 1.21E+24 1.77E+24 2.27E+24 2.71E+24 3.06E+24 3.33E+24 3.51E+24 3.61E+24 3.62E+24 3.56E+24 3.43E+24 3.25E+24 3.03E+24 2.77E+24 2.50E+24 2.23E+24 1.96E+24 1.69E+24 1.44E+24 1.22E+24 1.01E+24 8.30E+23 6.73E+23 5.39E+23 4.26E+23 3.33E+23 2.57E+23 1.96E+23 1.47E+23
 120.00  3.038  1.18E+28 1.12E+27 2.66E+28 1.15E+25 2.27E+25 3.31E+25 4.26E+25 5.08E+25 5.76E+25 6.29E+25 6.65E+25 6.86E+25 6.91E+25 6.82E+25 6.61E+25 6.29E+25 5.90E+25 5.44E+25 4.95E+25 4.44E+25 3.92E+25 3.42E+25 2.95E+25 2.50E+25 2.10E+25 1.74E+25 1.43E+25 1.16E+25 9.24E+24 7.31E+24 5.71E+24 4.41E+24 3.36E+24
