##
## Parameters for 239U 
##
## Level density
##
Pshift           91 235   0.00000   1
Pshiftadjust     91 235   0.00000   1
deltaW           91 235   2.30605   1
T                91 235   0.45331   1
E0               91 235  -1.27108   1
Exmatch          91 235   5.07329   1
Tadjust          91 235   1.00000   1
E0adjust         91 235   1.00000   1
Exmatchadjust    91 235   1.00000   1
Ntop             91 235   9   1
Nlow             91 235   2   1
s2adjust         91 235   1.00000   1
ctable           91 235   0.00000
ptable           91 235   0.00000
Krotconstant     91 235   1.00000   1
Pshift           91 235   0.00000   2
Pshiftadjust     91 235   0.00000   2
deltaW           91 235   2.30605   2
T                91 235   0.42320   2
E0               91 235  -0.82999   2
Exmatch          91 235   4.46410   2
Tadjust          91 235   1.00000   2
E0adjust         91 235   1.00000   2
Exmatchadjust    91 235   1.00000   2
Ntop             91 235  10   2
Nlow             91 235   2   2
s2adjust         91 235   1.00000   2
ctable           91 235   0.00000
ptable           91 235   0.00000
Krotconstant     91 235   1.00000   2
g                91 235  15.66667
gp               91 235   6.06667
gn               91 235   9.60000
gnadjust         91 235   1.00000
gpadjust         91 235   1.00000
##
## Gamma-ray
##
gamgam           91 235   0.03000
gamgamadjust     91 235   1.00000
sgr              91 235 696.628 E1
egr              91 235  13.348 E1
ggr              91 235   3.669 E1
sgradjust        91 235   1.000 E1
egradjust        91 235   1.000 E1
ggradjust        91 235   1.000 E1
sgr              91 235   1.096 M1
egr              91 235   6.644 M1
ggr              91 235   4.000 M1
sgradjust        91 235   1.000 M1
egradjust        91 235   1.000 M1
ggradjust        91 235   1.000 M1
sgr              91 235   0.583 E2
egr              91 235  10.209 E2
ggr              91 235   3.290 E2
sgradjust        91 235   1.000 E2
egradjust        91 235   1.000 E2
ggradjust        91 235   1.000 E2
sgr              91 235   0.001 M2
egr              91 235   6.644 M2
ggr              91 235   4.000 M2
sgradjust        91 235   1.000 M2
egradjust        91 235   1.000 M2
ggradjust        91 235   1.000 M2
##
## Fission parameters
##
fisbar           91 235   5.10000  1
fishw            91 235   1.00000  1
fisbaradjust     91 235   1.00000  1
fishwadjust      91 235   1.00000  1
class2width      91 235   0.20000  1
Rtransmom        91 235   0.60000  1
Rclass2mom       91 235   1.00000  1
fisbar           91 235   5.70000  2
fishw            91 235   0.60000  2
fisbaradjust     91 235   1.00000  2
fishwadjust      91 235   1.00000  2
Rtransmom        91 235   1.00000  2
Rclass2mom       91 235   1.00000  2
##--------------------------------------------
##
## Parameters for 234Th
##
## Level density
##
a                90 234  31.18081
aadjust          90 234   1.00000
gammald          90 234   0.07449
pair             90 234   1.56893
Pshift           90 234   0.00000   0
