#
# Parameters for  94Nb
#
# Level density
#
sgr       38  87   0.128 E2
egr       38  87  14.218 E2
ggr       38  87   5.066 E2
#---------------------------------------------
#
# Parameters for  87Rb
#
# Level density
#
a         37  87  11.03048
gammald   37  87   0.08240
pair      37  87   1.28654
Pshift    37  87   0.00000   0
deltaW    37  87  -0.77931   0
T         37  87   0.72228   0
E0        37  87   0.61459   0
Exmatch   37  87   4.52950   0
Ntop      37  87  15   0
Nlow      37  87   7   0
Krotconstant   37  87   1.00000   0
g         37  87   5.80000
gp        37  87   2.46667
gn        37  87   3.33333
#
# Gamma-ray
#
gamgam    37  87   0.18500
sgr       37  87   2.819 M1
egr       37  87   9.253 M1
ggr       37  87   4.000 M1
sgr       37  87 170.686 E1
egr       37  87  16.827 E1
ggr       37  87   5.710 E1
sgr       37  87   0.002 M2
egr       37  87   9.253 M2
ggr       37  87   4.000 M2
sgr       37  87   0.121 E2
egr       37  87  14.218 E2
ggr       37  87   5.066 E2
#---------------------------------------------
#
# Parameters for  86Rb
#
# Level density
#
a         37  86  11.45130
gammald   37  86   0.08271
pair      37  86   0.00000
D0        37  86      0.20
Pshift    37  86   0.00000   0
deltaW    37  86   0.00312   0
T         37  86   0.75825   0
E0        37  86  -1.13662   0
Exmatch   37  86   3.98442   0
Ntop      37  86  16   0
Nlow      37  86   5   0
Krotconstant   37  86   1.00000   0
g         37  86   5.73333
gp        37  86   2.46667
gn        37  86   3.26667
#
# Gamma-ray
#
gamgam    37  86   0.20500
sgr       37  86   2.868 M1
egr       37  86   9.289 M1
ggr       37  86   4.000 M1
sgr       37  86 168.336 E1
egr       37  86  16.873 E1
ggr       37  86   5.740 E1
sgr       37  86   0.002 M2
egr       37  86   9.289 M2
ggr       37  86   4.000 M2
sgr       37  86   0.122 E2
egr       37  86  14.273 E2
ggr       37  86   5.078 E2
#---------------------------------------------
#
# Parameters for  86Sr
#
# Level density
#
a         38  86  11.96081
gammald   38  86   0.08271
pair      38  86   2.58799
Pshift    38  86   0.00000   0
deltaW    38  86   0.76334   0
T         38  86   0.80114   0
E0        38  86   0.81643   0
Exmatch   38  86   7.48550   0
Ntop      38  86  16   0
Nlow      38  86   8   0
Krotconstant   38  86   1.00000   0
g         38  86   5.73333
gp        38  86   2.53333
gn        38  86   3.20000
#
# Gamma-ray
#
gamgam    38  86   0.19000
sgr       38  86   2.868 M1
egr       38  86   9.289 M1
ggr       38  86   4.000 M1
sgr       38  86 169.358 E1
egr       38  86  16.873 E1
ggr       38  86   5.740 E1
sgr       38  86   0.002 M2
egr       38  86   9.289 M2
ggr       38  86   4.000 M2
sgr       38  86   0.129 E2
egr       38  86  14.273 E2
ggr       38  86   5.078 E2
#---------------------------------------------
#
# Parameters for  85Rb
#
# Level density
#
a         37  85  12.34000
gammald   37  85   0.08304
pair      37  85   1.30158
Pshift    37  85   0.00000   0
deltaW    37  85   1.52387   0
T         37  85   0.81676   0
E0        37  85  -0.85414   0
Exmatch   37  85   6.61094   0
Ntop      37  85  17   0
Nlow      37  85   8   0
Krotconstant   37  85   1.00000   0
g         37  85   5.66667
gp        37  85   2.46667
gn        37  85   3.20000
#
# Gamma-ray
#
gamgam    37  85   0.20000
sgr       37  85   2.919 M1
egr       37  85   9.325 M1
ggr       37  85   4.000 M1
sgr       37  85 190.000 E1
egr       37  85  16.800 E1
ggr       37  85   4.470 E1
sgr       37  85   0.002 M2
egr       37  85   9.325 M2
ggr       37  85   4.000 M2
sgr       37  85   0.123 E2
egr       37  85  14.329 E2
ggr       37  85   5.090 E2
#---------------------------------------------
#
# General parameters
#
# Level density
#
alphald        0.07160
betald         0.27159
gammashell1    0.36510
gammashell2    0.00000
pairconstant  12.00000
pshiftconstant   0.00000
Rspincut       1.00000
Ufermi        30.00000
cfermi         5.00000
Ufermibf      45.00000
cfermibf       5.00000
Kph           15.00000
#
# Gamma-ray
#
gnorm          2.27716
#
# Pre-equilibrium
#
M2constant     1.00000
M2limit        1.00000
M2shift        1.00000
Rpipi          1.00000
Rnunu          1.50000
Rpinu          1.00000
Rnupi          1.00000
Rgamma         2.00000
Esurf         12.11795
Cstrip     n   1.00000
Cknock     n   1.00000
Cstrip     p   1.00000
Cknock     p   1.00000
Cstrip     d   1.00000
Cknock     d   1.00000
Cstrip     t   1.00000
Cknock     t   1.00000
Cstrip     h   1.00000
Cknock     h   1.00000
Cstrip     a   1.00000
Cknock     a   1.00000
#
# Optical model
#
v1adjust   n   1.00000
v2adjust   n   1.00000
v3adjust   n   1.00000
v4adjust   n   1.00000
rvadjust   n   1.00000
avadjust   n   1.00000
w1adjust   n   1.00000
w2adjust   n   1.00000
d1adjust   n   1.00000
d2adjust   n   1.00000
d3adjust   n   1.00000
rvdadjust  n   1.00000
avdadjust  n   1.00000
rvsoadjust n   1.00000
avsoadjust n   1.00000
vso1adjust n   1.00000
vso2adjust n   1.00000
wso1adjust n   1.00000
wso2adjust n   1.00000
rcadjust   n   1.00000
v1adjust   p   1.00000
v2adjust   p   1.00000
v3adjust   p   1.00000
v4adjust   p   1.00000
rvadjust   p   1.00000
avadjust   p   1.00000
w1adjust   p   1.00000
w2adjust   p   1.00000
